Plants Non-Toxic to Cats
Golden Bells | Forsythia  | Oleaceae | Family:
Golden Butterfly Palm | Areca Palm, Cane Palm, Golden Feather Palm, Yellow Palm  | Dypsis lutescens | Palmae
Golden Lace Orchid | Jewel Orchid  | Haemaria discolor | Orchidaceae
Golden Shower Orchid |   | Oncidium sphacelatum | Orchidaceae
Good Luck Palm | Dwarf Palm, Parlor Palm  | Chamaedorea elegans | Palmae
Grape Hyacinth |   | Muscari armeniacum | Liliaceae
Grape Ivy | Venezuela treebine  | Cissus rhombifolia | Vitaceae
Great Willow Herb | Blooming Sally, Fire Weed  | Epilobium angustifolium | Onagraceae
Green Ripple Peperomia | Emerald Ripple Peperomia, Little Fantasy Peperpmia  | Peperomia caperata | Piperaceae
Greenbrier | China Root, Ti-hu-ling, Shiny Leaf Smilax, cat brier  | Smilax glabra | Liliaceae
Hagbrier | Hellfetter  | Smilax hispida | Liliaceae
Hardy Baby Tears | Stonecrop  | Sedum album | Crassulaceae
Hardy Gloxinia |   | Incarvillea delavayi | Bignoniaceae
Hare Fern | Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Ball Fern  | Davallia spp. | Polypodiaceae
Haworthia | Many cultivars  | Haworthia species | Liliaceae
Haws | Pirliteiro  | Crataegus species | Rosaceae
Haws Apple | Haws, Hawthorn  | Crataegus species | Rosaceae
Hawthorn | Haws, Haws Apple  | Crataegus species | Rosaceae
Hedgehog Gourd | Teasel Gourd  | Cucumis dipsaceus | Cucurbitaceae
Hellfetter | Hellfetter  | Smilax hispida | Liliaceae
Hemlock Tree | Many varieties  | Tsuga species | Pinaceae
Hen and Chickens Fern | King and queen fern, Spleenwort, Parsley fern  | Asplenium bulbiferum | Polypodaceae
Hens and Chickens | Chickens and Hens, Mother Hens and Chicks  | Echeveria elegans | Crassulaceae
Hibiscus | Rose of Sharon, Rose of China  | Hibiscus syriacus | Malvaceae
Hindu Rope Plant |   | Hoya carnosa 'krinkle kurl' | Asclepiadaceae
Hoary Alyssum |   | Berteroa incana | Brassicaceae
Holligold | Marigold, Mary Bud, Gold Bloom, Pot Marigold, Garden Marigold  | Calendula officinalis | Compositae
Holly Fern | Fishtail Fern  | Cyrtomium falcatum | Polypodaceae
Hollyhock |   | Alcea rosea | Malvaceae
Honey Locust |   | Gleditsia triacanthos | Fabaceae
Honey Plant | Wax Plant  | Hoya carnosa | Asclepiadaceae
Honeydew Melon | Casaba Melon  | Cucumis melo | Cucurbitaceae
Honeysuckle Fuchsia |   | Fuchsia triphylla | Onagraceae
Hookera pulchella | Wild Hyacinth, Blue-Dicks  | Dichelostemma pulchellum | Amaryllidaceae
Hubbard Squash |   | Cucurbita maxima var. hubbard | Cucurbitaceae
Hypocyrta | Candy Corn Plant, Goldfish Plant  | Hypocyrta nummularia | Gesneriaceae
Ice Plant |   | Lampranthus piquet | Aizoaceae
